Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3-ma,drug,inhibitor,,uniprot,p01730,cytosol,go:0005886,autophagy,process,,,uniprot,,autophagosome,go:0005886,negative,d,inhibition,,caco-2,adenocarcinoma,colon,human,['22'],nan,nan,"in the current study, inhibition of autophagy either by 3-ma (inhibition in early stage of autophagophore formation) or bafilomycin a1 (bafa1) (inhibition in later stage- in maturation of autophagophore) leads to a strong reduction in cell viability and activation of apoptosis, in cells treated only with bafa1. mono-treatments with bafa1 were very efficient in all colorectal adenocarcinoma cell lines tested, but not in the intermediate adenoma cell line caco-2. it is proposed that further studies are necessary for its establishment as an efficient therapeutic agent. treatment of colorectal adenocarcinoma cells with 5mm 3-ma provides evidence that the most resistant cell lines dld-1 and ht29 present high levels of autophagic markers like lc3ii/lc3i ratio and mdc staining. on the other hand, the partial response of colorectal cancer cells to 3-ma has been exploited here towards its potential synergistic action with targeted therapeutics.",pmc4891035,1,0.1,39,1,39.1
arn5187,smallmolecule,inhibitor,,uniprot,,cytosol,go:0005636,autophagy,process,,,uniprot,,cytosol,go:0005636,positive,d,inhibition,cytosol,hela,epithelial,,human,['27'],nan,nan,"because autophagy is a very dynamic process, the analysis of a single time point is not sufficient to rule out the possibility that arn5187 also affected autophagy formation and maturation. we therefore analyzed the appearance of gfp- and rfp-positive dots at different time points in arn5187-treated cells. consistent with the idea that arn5187 blocks autophagy by disrupting the lysosomal function and preventing autophagolysosome final maturation, we observed a similar accumulation of both gfp- and rfp-positive dots over time (figure 6c).",pmc4761647,1,0.1,39,1,39.1
atad3a,protein,,atad3a,uniprot,q9y6a8,cytosol,go:0005736,cell autophagy,biologicalprocess,,,uniprot,,,go:0005736,negative,d,inhibit,,,,,human,['7'],nan,nan,"persistent human papillomavirus infection may stabilize atad3a (an anti-autophagy factor), inhibit cell autophagy and apoptosis and to increase drug resistance in uterine cervical cancer. resveratrol's anticancer effects were confirmed by its capacity for reducing atad3a expression, increasing abrasion of the mitochondrial outer membrane, and increasing the numbers of autophagosomes.124",pmc4260725,1,0.1,39,1,39.1
atp,molecule,,atp,uniprot,p00717,cytoplasm,go:0005739,2-dg,compound,,,uniprot,,,go:0005739,negative,d,inhibition,,,b-cell,,vein,['46'],nan,nan,"because hif-1α is a key regulator of cell metabolism [21], we tested whether autophagy inhibition could influence cell’ metabolism. as shown in figure 4a and 4b, autophagy defect enhanced total expression of glucose transporter 1 (glut-1) and promoted membrane translocation of glut-1 in gastric cancer cells, the enhanced glut-1 expression could be reverted by 2-meoe2 or nac. correspondingly, the glucose uptake level of sgc-shbecn1 and mgc-shbecn1 cells was increased significantly compared with control cells (figure 4c), meanwhile, the lactate secretion level of these cells was also increased (figure 4d), implying that autophagy defect induces aerobic glycolysis in gastric cancer cells. on the other hand, the concentrations of citrate and fumarate, two intermediates in the tca cycle (tricarboxylic acid cycle) used to form atp, were decreased in sgc-shbecn1 and mgc-shbecn1 cells (figure 4e & 4f), indicating that autophagy defect reduces mitochondrial oxidative phosphorylation level in gastric cancer cells. however, there was no significant difference of atp production between autophagy deficient cells and control cells (figure 4g & 4h). to investigate whether atp generation could be affected by autophagy defect induced glycolysis, all cells were treated with 5 mm 2-dg (2-deoxy-d-glucose, an inhibitor of glycolysis) for 12 h. our results displayed that atp generation of all cells was inhibited by 2-dg and the inhibitory effect was more significant in sgc-shbecn1 and mgc-shbecn1 cells than control cells (figure 4g & 4h), indicating that autophagy deficient cells are more relied on glycolysis to provide energy and the decreased atp production in mitochondria is compensated by increased glycolysis in autophagy deficient cells. besides, the emt couldn't be reverted by 2-dg in sgc-shbecn1 and mgc-shbecn1 cells (supplementary figure s4), demonstrating that autophagy inhibition induced glycolysis has no appreciable effect on emt. altogether, these results suggested that autophagy defect causes the shift from oxidative phosphorylation to glycolysis in gastric cancer cells for maintaining proper energy homeostasis.",pmc4741864,1,0.1,39,1,39.1
autophagy,process,lysosome-mediated,atg1,uniprot,q92576,cytoplasm,go:0005739,apoptosis,process,cell death,bcl2l1,uniprot,q07817,mitochondria,go:0005739,negative,d,inhibition,,,,,human,['9'],nan,nan,"resistance to ‘apoptotic' cell death is one of the major hallmarks of cancer, contributing to tumor development and therapeutic resistance. damage-associated molecular patterns (damps) are molecules released or exposed by dead, dying, injured, or stressed non-apoptotic cells, with multiple roles in inflammation and immunity. release of damps not only contributes to tumor growth and progression but also mediates skewing of antitumor immunity during so-called immunogenic tumor cell death (icd). autophagy is a lysosome-mediated homeostatic degradation process in which cells digest their own effete organelles and macromolecules to meet bioenergetic needs and enable protein synthesis. for tumor cells, autophagy is a double-edged sword. autophagy, in balance with apoptosis, can function as a tumor suppressor; autophagy deficiency, associated with alterations in apoptosis, initiates tumorigenesis in many settings. in contrast, autophagy-related stress tolerance generally promotes cell survival, which enables tumor growth and promotes therapeutic resistance. most anticancer therapies promote damp release and enhance autophagy. autophagy not only regulates damp release and degradation, but also is triggered and regulated by damps. this interplay between autophagy and damps, serving as ‘strange attractors' in the dynamic system that emerges in cancer, regulates the effectiveness of antitumor treatment. this interplay also shapes the immune response to dying cells upon icd, culling the least fit tumor cells and promoting survival of others. thus, damps and autophagy are suitable emergent targets for cancer therapy, considering their more nuanced role in tumor progression.",pmc3877563,1,0.1,39,1,39.1
autophagy,process,,,uniprot,,cytoplasm,go:0005632,dcs,cell,,,uniprot,,cytoplasm,go:0005632,positive,d,upregulation,,,,,human,['13'],nan,nan,"there is a critical role for autophagy in tumor immunology and immunotherapy.50 autophagy is upregulated at the immunological synapse during dc–t-cell contact.51 suppression of autophagy in dcs results in hyperstable contacts between dcs and cd4+ t cells and increases t-cell activation.51 autophagy contributes to cd4+ t-cell survival by degradation of pro-apoptotic proteins.52 dcs use autophagy to promote cross-presentation of tumor antigens on mhc class i complexes for cytotoxic t-lymphocyte activation and to facilitate antigen expression on mhc class ii molecules for t-helper cell activation. other studies show that autophagy within tumor cells favors cross-priming of tumor-associated antigen-specific cd8+ t cells.53, 54 autophagosomes from cancer cells are a source of specific tumor-associated antigens, and autophagosome-enriched and autophagosome-based vaccines have potent antitumor efficacy. these findings suggest that autophagy contributes to apc-mediated antitumor immunity. in addition, autophagy contributes to ifnγ/stat1-mediated antimetastatic immunotherapy. autophagy also has an immunosuppressive effect in cancer therapy. hypoxia-induced autophagy increases stat3 phosphorylation, which impairs ctl-mediated tumor cell lysis in lung cancer cells.55 thus, autophagy has a dual role in tumor immunity and has in some instances a paradoxical influence, requiring further elucidation.",pmc3877563,1,0.1,39,1,39.1
autophagy,process,,,uniprot,,cytoplasm,go:0005637,cancer therapy,process,,,uniprot,,cytoplasm,go:0005637,positive,d,inhibition,,,,,human,['14'],nan,nan,"recent developments in the investigation of autophagy as a mechanism of resistance to many anticancer drugs and the development of strategies to inhibit autophagy represent a new approach to enhance the efficacy of cancer therapy [21]. current inhibitors of autophagy, like 3-ma, bafilomycin, (hydroxyl) chloroquine as well as new agents-modulators of autophagy, are currently tested as anti-cancer agents, either alone, or in rational combinatorial treatments with targeted anti-cancer drugs [22]. these recent findings confirm the urgent need for further investigation into the relation between autophagy, tumorigenesis and tumor survival, since these may also be dependent on the cell type, tumor stage and environmental conditions [23].",pmc4891035,1,0.1,39,1,39.1
autophagy,process,,,uniprot,,cytoplasm,go:0005886,t lymphocyte,cell,,tcr,uniprot,tcr,plasma membrane,go:0005886,positive,d,degradation,,,t-cell,,mouse,['57'],nan,nan,"on the other hand, autophagy also provides intrinsic resistance against anticancer therapy by reducing anticancer immune effector mechanisms. autophagy plays a protective role against sepsis-induced t lymphocyte apoptosis and immunosuppression, thus, down-regulation of autophagy in t lymphocytes may result in enhanced apoptosis and decreased cell survival [89]. the activation of autophagy in hypoxic melanoma cells was proved to selectively degrade gap-junctional channel activity of connexin 43 (cx43), leading to the destabilization of the immune synapse and the suppression of nk cell-mediated tumor cell killing [90]. the inhibition of autophagy augmented cytotoxicity in combination with several anticancer approaches and inhibited cancer progression in preclinical models. administration of high dose interleukin 2 (hdil-2) has durable antitumor effects for the patients with melanoma and renal cell carcinoma. however, the side effects restricted its clinical application. recent study indicated that inhibiting autophagy by chloroquine (cq) enhanced the efficacy of hdil-2 immunotherapy and decreased toxicity for cancer patients [91]. cq also blocked radiation-induced autophagy and drove breast cancer cells into a more rapid apoptotic and more immunogenic form of cell death by dcs, although t-cell stimulation was unaffected [92]. moreover, anti-cd20 nanoparticles carrying hydroxychloroquine (hcq) and chlorambucil increased tumor cell killing in comparison to free cytotoxic agents or rituximab [93]. hypoxia-induced resistance of lung tumor to cytolytic t lymphocyte (ctl)-mediated lysis was demonstrated to be associated with autophagy induction, and inhibition of autophagy by hcq dramatically reduced tumor growth in b16-f10 tumor-bearing mice and restored the susceptibility of hypoxic tumor cell to ctl-mediated lysis [94]. in line with these observations, hypoxia-induced autophagy impaired cancer cell susceptibility to natural killer (nk)-mediated killing and the activation of autophagy in hypoxic cells was involved in selective degradation of the pro-apoptotic nk-derived serine protease granzyme b. inhibition of autophagy by targeting beclin 1 restored granzyme b levels in hypoxic cells and induced tumor regression by facilitating nk-mediated tumor cell killing [95, 96].",pmc5008281,1,0.1,39,1,39.1
bafa1,drug,autophagy inhibitor,,uniprot,,,,colorectal cancer cell lines,other,,,uniprot,,,,negative,d,inhibition,,,,,human,['18'],nan,nan,"taking the above under consideration, it can be proposed that autophagy presents a cytoprotective role in colorectal cancer cell lines, since inhibition of autophagy by two established autophagy inhibitors is remarkably correlated with decrease in cell viability and appearance of apoptosis. remarkably, autophagy inhibitor bafa1 appears to be a very potent anti-cancer agent in the examined colorectal adenocarcinoma cell lines, suggesting to its further exploitation.",pmc4891035,1,0.1,39,1,39.1
bcl-2 family of proteins,protein,,bcl2,uniprot,q07817,mitochondria,go:0005739,bax,protein,,bax,uniprot,q03907,mitochondria,go:0005739,negative,d,inhibition,,,,,human,['50'],nan,nan,"under extreme stress, tumor cells with apoptosis-defective genetic backgrounds die via other mechanisms (kondo and kondo, 2006; gozuacik and kimchi, 2007). sustained autophagic activation, which leads to turnover of proteins and organelles beyond a survival threshold, can kill some cancer cells with high apoptotic thresholds, thus enhancing treatment efficacy (yang et al., 2011). in this case, therefore, cell death via autophagy could provide an alternative therapeutic strategy (gozuacik and kimchi, 2007; eisenberg-lerner et al., 2009).",pmc3296807,1,0.1,39,1,39.1
beclin 1,protein,,becn1,uniprot,q92576,endoplasmic reticulum,go:0005739,bcl-2-interacting protein,protein,,,uniprot,,,,positive,d,interacts,,,,,human,['49'],nan,nan,"deficiencies in autophagy lead to the accumulation of damaged macromolecules and organelles (particularly mitochondria), subsequently inducing oxidative stress, dna damage and chromatin instability (levin and klionsky, 2004; chen and karantza, 2011). thus, autophagic defects are ultimately associated with the accumulation of oncogenic mutations and increased tumor susceptibility (karanta-wadsworth et al., 2007; mathew et al., 2007). some of the most important evidence for the role of autophagy in tumor suppression comes from studies on the bcl-2-interacting protein, beclin 1 (becn1, also called atg6). for example, monoallelic deletion of beclin 1 has been frequently observed in human breast (futreal et al., 1992), ovarian (aita et al., 1999) and prostate cancers (gao et al., 1995), and mice with a disrupted beclin 1 gene had a higher incidence of lymphoma, lung cancer and liver cancer (qu et al., 2003; yue et al., 2003). constitutive activation of the pi3k-akt-mtor axis, a common characteristic of cancer (lopiccolo et al., 2008), is known to suppress autophagy (janku et al., 2011), while promoting tumor cell growth, proliferation and survival (martelli et al., 2007) (figure 1). a number of tumor suppressor proteins have been shown to promote autophagy, including atg4c (mariño et al., 2007), baxinteracting factor-1 (bif-1) (takahashi et al., 2007), bh3-only proteins (maiuri et al., 2007), dapkinase (bialik and kimchi, 2010), lkb1 (liang et al., 2007), ultraviolet radiation resistance-associated gene (uvrag) (liang et al., 2006), pten (arico et al., 2001), tsc (zhou et al., 2009), nuclear p53 (maiuri et al., 2010) and ampk (luo et al., 2010). furthermore, autophagy has been shown to reduce intratumoral necrosis and local inflammation (degenhardt et al., 2006). collectively, these results support the contention that autophagy plays a tumor-suppressing role in cancer, and suggest that reduced autophagic activity may constitute a hallmark of cancer (hanahan and weinberg, 2011).",pmc3296807,1,0.1,39,1,39.1
becn1,protein,,becn1,uniprot,p13477,cytoplasm,go:0005739,becn1,protein,,becn1,uniprot,p13477,cytoplasm,go:0005739,positive,d,expression,cytoplasm,,epithelial,,human,['40'],nan,nan,"the expression of becn1, an important autophagy initiator, is suppressed in several human tumors, such as ovarian, breast and prostate cancers [12]. recently, becn1 has been reported to be positively correlated with tumor differentiation in several cancers, and can be used as an independent biomarker for predicting overall survival and progression-free survival in gastric and liver cancer patients [12–15]. these studies have illustrated that autophagy defect may be associated with malignant phenotype and poor prognosis of human cancers, however, the specific mechanisms are still unclear. in this study, we gained further insights into the role of autophagy in gastric cancer progression. our results indicated that autophagy provides metabolic intermediates for mitochondrial oxidative phosphorylation to fuel cell survival, while autophagy defect causes the shift from oxidative phosphorylation to aerobic glycolysis for proper energy homeostasis in gastric cancer cells. besides, we also found that autophagy defect induces other biological changes, including promoting epithelial-mesenchymal transition (emt), metastasis and malignant transformation. importantly, ros generation is involved in the autophagy defect induced biological changes, and scavenging of ros by the antioxidant n-acetylcysteine (nac) could revert these biological changes in gastric cancer cells.",pmc4741864,1,0.1,39,1,39.1
becn1,protein,,becn1,uniprot,q92677,plasma membrane,go:0005886,hif-1α,protein,,hif1a,uniprot,q05523,nucleus,go:0005634,negative,d,scavenging,,,epithelial-like,,human,['45'],nan,nan,"previous studies have demonstrated that autophagy defect results in an increase in intracellular ros level as well as mitochondrial ros level [16, 17]. consistent with these studies, our results showed that both intracellular and mitochondrial ros levels were increased in sgc-shbecn1 and mgc-shbecn1 cells compared with control cells (figure 3a–3c & supplementary figure s3a). then, we tested whether activation of hif-1α was associated with increased ros in autophagy deficient cells. after incubating sgc-shbecn1 and mgc-shbecn1 cells with 3 mm and 10 mm nac (ros scavenging agent) for 48 h, the hif-1α accumulation was down-regulated and the emt was reverted (figure 3d & supplementary figure s3b), suggested that autophagy defect induced hif-1α activation and emt are based on ros generation.",pmc4741864,1,0.1,39,1,39.1
hmgb1,protein,,hmgb1,uniprot,p00687,cytoplasm,go:0005737,t cells,cell,cd8+ t cells,tcr,fplx,t cells,lymph nodes,go:0005886,positive,d,enhancement,rage,,cancer,,human,['12'],nan,nan,"hmgb1 has positive and negative influences on tumor immunity.34 on one hand, hmgb1 suppresses lymph node dc survival, diminishes naturally acquired cd8+ t-cell-dependent antitumor immunity, and promotes membrane lymphotoxin-α1β2 expression on tumor-activated t cells and subsequent accumulation of tumor-associated macrophages. this in turn promotes tumor growth and metastasis. on the other hand, hmgb1 can trigger protective dc-based anti-neoplastic t-cell responses during icd. blocking the hmgb1/tlr4 pathway inhibits dying tumor cell-mediated anticancer immune responses upon chemotherapy. surprisingly, tumor-associated dc expression of the receptor tim-3 inhibits antitumor efficacy of dna vaccines and chemotherapy by binding to hmgb1.35 besides immune cells, cancer cells also express hmgb1 receptors and have varied roles in cancer formation and treatment. we found that loss of the receptor for advanced glycation end products (rage) increases chemotherapy sensitization and inhibits pancreatic carcinogenesis with a significant diminution of myeloid-derived suppressor cells.36, 37, 38 hmgb1 released from necrotic cancer cells treated with chemotherapy enhances regrowth and metastasis of the remaining cancer cells through rage activation39 and rage-promoted bioenergetics.40 these studies suggest that the function of extracellular hmgb1 in tumor immunity might be receptor dependent.",pmc3877563,1,0.1,39,1,39.1
c/ebp homologous protein (chop)/gadd153,protein,,gadd153,uniprot,q04239,cytoplasm,go:0005634,er stress,biologicalprocess,,,uniprot,,,,positive,d,upregulation,,,,,human,['0'],nan,nan,"we and others have reported that macrolide antibiotics such as clarithromycin (cam) and azithromycin (azm) inhibit autophagy flux (17–19). we also reported that combined treatment with the proteasome inhibitor bortezomib and cam for simultaneous blocking of the ubiquitin-proteasome system and the autophagy-lysosome system resulted in pronounced apoptosis induction of myeloma cells along with accumulation of intracellular ubiquitinated proteins and aggresome, which results in pronounced endoplasmic reticulum (er) stress loading (20). under accumulation of unfolded proteins inside the er lumen, a series of adaptive responses occur: i) attenuation of translation for repression of unfolded protein accumulation; ii) induction of chaperon proteins for proper refolding; and iii) exporting of unfolded proteins to outside er, following their polyubiquitination and degradation by proteasome [er-associated degradation (erad)]. however, when er stress loading exceeds these adaptive capacities, apoptosis is induced via transcriptional activation of a proapoptotic transcription factor such as c/ebp homologous protein (chop)/gadd153 and the other mechanisms (21,22). many lines of evidence now confirm that apoptosis induction via er stress loading in cancer cells is a novel potential therapeutic strategy (23).",pmc4734605,1,0.1,39,1,39.1
cd4-,protein,,,uniprot,p01730,plasma membrane,go:0005886,tcr,other,,,fplx,tcr,plasma membrane,go:0005886,positive,d,phosphorylation,,,b-cell,,vein,['35'],nan,nan,"because of its active role in the radioresistance of hypoxic tumor cells, hif-1 has been recognized as a prime molecular target for sensitization to the therapeutic effect of radiation. for example, targeting tumor metabolism through hif-1 inhibition enhances the radiation response in cervical and head and neck xenograft tumors [244]. the well-known hif-1 inhibitor yc-1 was found to downregulate hif-1α and hif-2α through post-translational modifications and to inactivate the carboxyl-terminal transactivation domain of hif-1α [245]. it was also reported to decrease hif-1 target gene expression under hypoxic conditions, thereby inhibiting the growth and spread of tumors [246,247]. inhibition of the radiation-induced upregulation of hif-1 activity by yc-1 dramatically suppresses tumor recurrence after radiotherapy [248]. inhibition of the dimerization of hif-1α with hif-1β also likely exerts a radiosensitizing effect because dimerization is a prerequisite for dna binding by, and transcriptional activity of, hif-1 [249]. in this sense, acriflavine may also be a potent hif-1 inhibitor because it binds directly to hif-1α and inhibits hif-1 dimerization and transcriptional activity [250]. however, the radiosensitizing activity of acriflavine has not been examined to date. the negative regulation of key factors that upregulate the expression or activity of hif-1 represents another approach to hif-1 inhibition. the pi3k-akt-mtor signaling pathway is known to upregulate the expression of hif-1α protein. therefore, inhibitors of these pathways, such as rad-001, ly294002, wortmannin, and rapamycin, contribute to radiosensitization presumably by suppressing hif-1. hsp90 can also enhance hif-1 expression; it binds to hif-1α in competition with rack1 and inhibits the oxygen-independent degradation of hif-1α [251]. additionally, 17-aag or deguelin, a novel naturally occurring inhibitor of hsp90, suppresses an increase in the interaction of hif-1α with hsp90 in cancer cells [252]. furthermore, combined treatment with ir and deguelin significantly overcomes radioresistance in lung cancer cells [252].",pmc4661850,1,0.1,39,1,39.1
ceramide,lipid,,smc1,uniprot,q07817,plasma membrane,go:0005886,ir,other,,,fplx,ir,plasma membrane,go:0005886,positive,d,activated,,cos,b-cell,,vein,['30'],nan,nan,"ceramide is a potent mediator of the initiation of ir-induced apoptosis. several tumor cells resistant to ir-induced apoptosis show defective ceramide signaling [32,33]. a number of downstream targets for ceramide action against ir, such as ceramide-activated protein kinase (capk), ceramide-activated protein phosphatase (capp), pkc, bad, akt, and jnk, have been identified. pro-apoptotic ceramide signaling has been shown to be mediated by bad in cos cells [34]. in contrast, pkc activation attenuates ceramide-induced apoptosis in some cancer cell types [35]. ceramide also suppresses the kinase activity of akt [36]. nonetheless, the most important target for ceramide action in ir-induced apoptosis seems to be stress-activated protein kinase (sapk)/c-jun n-terminal kinase (jnk). ir utilizes jnk for the amplification of mitochondrial apoptotic death in cancer cells, and jnk activation is pi3k- or reactive oxygen species (ros)-dependent. ceramide also induces fas ligand (fasl) expression, and the soluble fasl-activated sphingomyelin pathway has been demonstrated in ir-induced apoptosis [37].",pmc4661850,1,0.1,39,1,39.1
cox-2,protein,,cox2,uniprot,q92579,cytosol,go:0005739,nf-κb,protein,,nfkb1,uniprot,p00743,nucleus,go:0005739,positive,d,activation,,,,,human,['31'],nan,nan,"radiation is also known to induce inflammation through cyclooxygenase-2 (cox-2) [142]. cox is necessary for the conversion of arachidonic acid to the family of prostaglandins and its activity in cancer can be directly stimulated by nf-κb after radiation exposure or indirectly by the activity of several cytokines. cox-2 is overexpressed in various types of cancer [142]. in particular, cox-2 upregulation is associated with a higher tumor grade and distant metastases in breast cancers [149]. this protein has assumed an important role as a therapeutic target for anticancer and anti-inflammatory therapies. in particular, cox-2-derived prostaglandins are thought to protect cells from radiation-induced damage, contributing to tumor growth and resistance to radiation therapy. cox-2 activation via the pi3k/akt pathway can also induce resistance to radiation in human cancer cells [150]. collectively, the use of specific inhibitors or drugs that manipulate cytokine pathways should be encouraged to improve radiation therapy because tnf-α, il-1β, il-8, il-6, or tgf-β can influence the response to ir by inducing inflammation, cancer cell invasiveness, and fibrosis in irradiated tissues.",pmc4661850,1,0.1,39,1,39.1
egfr,protein,receptor tyrosine kinase,egfr,uniprot,q02506,plasma membrane,go:0005886,pi3k/akt,signalingpathway,downstream of egfr,pi3kakt,uniprot,p00600,plasma membrane,go:0005886,positive,d,activates,,,,,human,['33'],nan,nan,"in cancer cells, radiation-induced or constitutive signaling pathways that act through receptor tyrosine kinases (rtks) are implicated in modulating radioresistance. egfr, an erbb family member, is a membrane-spanning tyrosine kinase receptor that plays an important role in regulating tumor cell proliferation, survival, invasion, and angiogenesis. high-level egfr expression is correlated with radioresistance and poor outcome after radiotherapy in preclinical and clinical studies [185,186]. egfr exerts prosurvival and pro-proliferation activities through the activation of downstream signaling pathways, including the pi3k/akt, stat, and ras–raf–mapk [187,188,189]. among them, the pi3k/akt pathway is a key downstream survival pathway activated in cancer cells. the akt serine/threonine protein kinase, a central kinase downstream of pi3k, is involved in different aspects of cellular regulation, such as cell growth, proliferation, survival, migration/invasion, metastasis, angiogenesis, and metabolism.",pmc4661850,1,0.1,39,1,39.1
genistein,compound,glycoside,,uniprot,,,,ovarian cancer cells,cell,,,uniprot,,,,positive,d,inhibition,,,,,human,['34'],nan,nan,"genistein is a naturally occurring soybean-derived isoflavone glycoside that inhibits protein tyrosine kinase. genistein can inhibit cancer cell growth by inducing apoptosis and differentiation and/or by suppressing angiogenesis and metastasis. anticancer effects of genistein are mediated by the inhibition of protein tyrosine kinases, topoisomerase i/ii, protein histidine kinases, and the expression of cell cycle–related genes in multiple malignant tissues. genistein in combination with ir may enhance the efficacy of radiotherapy in numerous cancer cells by inhibiting dna synthesis, cell division, and cell growth. for example, genistein greatly enhances the radiosensitivity of human esophageal cancer cells by suppressing radiation-induced activation of survival signals such as akt and erk [230]. combination treatment with genistein and ir significantly induces g2/m arrest followed by apoptosis by reducing the expression of survivin and cyclin b in cervical cancer cells [231]. genistein also increases radiation-induced apoptosis and promotes arrest at the g2 phase of the cell cycle in leukemia cells [232]. because cells in the g2/m phase are more sensitive to radiation damage than those in other phases, g2/m arrest in response to genistein treatment can sensitize cancer cells to ir-induced death. combined treatment-induced g2/m arrest has been also reported in other cancer cell types, such as prostate cancer cells [233]. in contrast, genistein can also protect from ir-induced injury in human normal lymphocytes [234]. moreover, the administration of genistein alleviates the ir-induced injury in mice without adverse effects on motor activity, body weight, or histopathology [224]. nf-κb inhibition mediated by genistein is also suggested to be an underlying mechanism by which genistein exerts its anticancer and radiosensitizing effects. the increased cancer cell death induced by the combined treatment of genistein and ir is assumed to occur largely via the inhibition of nf-κb, leading to the decrease in cyclin b levels and/or the increase in the levels of the cdk inhibitor p21, thus promoting g2/m arrest and increasing radiosensitivity.",pmc4661850,1,0.1,39,1,39.1
hif-1,protein,,hif1a,uniprot,q02972,cytoplasm,go:0005739,over 100 genes,gene,,,uniprot,,cytoplasm,go:0005739,positive,d,regulates,,,,,human,['32'],nan,nan,"hypoxia inducible factor 1 (hif-1), the critical regulator of cellular responses to hypoxia, has been shown to be involved in hypoxia-related tumor radioresistance [179,180,181]. hif-1 modulates the expression of over 100 genes involved in the regulation of proliferation, apoptosis, and angiogenesis. hif-1 expression levels increase under ir treatment as early as 24 h, and this effect persists for up to one week. after irradiation, when radiosensitive cells are killed and they free up oxygen to be delivered to the previously hypoxic regions, the hypoxic cells undergo reoxygenation. the oxidative stress generated during reoxygenation causes activation of the hif-1 pathway. therefore, paradoxically, reoxygenation causes activation of the hif-1 pathway, which usually responds to low oxygen levels. due to its critical role in tumor radioresistance, hif-1 may constitute a therapeutic target for hypoxic tumors.",pmc4661850,1,0.1,39,1,39.1
hif-1α,protein,,hif1a,uniprot,p13444,cytoplasm,go:0005634,emt,process,,,uniprot,,,,negative,d,binds,,,,,,['41'],nan,nan,autophagy inhibition promotes emt of gastric cancer cells through hif-1α activation,pmc4741864,1,0.1,39,1,39.1
hif-1α,protein,,hif1a,uniprot,q14178,cytoplasm,go:0005739,hif-2α,protein,,hif2a,uniprot,q07817,cytoplasm,go:0005739,positive,d,binds,,sgc-7901,epithelial-like,stomach,human,['42'],nan,nan,"furthermore, we found that autophagy defect promoted intracellular accumulation and nuclear localization of hif-1α in sgc-7901 and mgc-803 cells under normoxic circumstance (figure 2a & 2c left; supplementary figure s3b). nevertheless, the hif-2α expression was not affected by autophagy inhibition (supplementary figure s2a). to investigate whether emt induced by autophagy inhibition was dependent on hif-1α activation, sgc-shbecn1 cells were treated with 1 μm and 5 μm 2-meoe2 (a specific inhibitor of hif-1α) for 48 h. as shown in figure 2b and 2c, the hif-1α nuclear translocation and emt induced by autophagy inhibition were reverted by 2-meoe2. these results were further verified by hif-1α sirna in sgc-shbecn1 cells (supplementary figure s2b & s2c). altogether, these experiments demonstrated that compromised autophagy could enhance the emt phenotype of gastric cancer cells and this process could be hif-1α-dependent.",pmc4741864,1,0.1,39,1,39.1
hif-1α,protein,,hif1a,uniprot,q92377,cytoplasm,go:0005634,autophagy,process,,,uniprot,,cytoplasm,go:0005634,positive,d,activation,,,cancer cell,,gastric cancer,['43'],nan,nan,the emt induced by autophagy inhibition is dependent on hif-1α activation in gastric cancer cells,pmc4741864,1,0.1,39,1,39.1
hmgb1,protein,,hmga1,uniprot,p00763,cytoplasm,go:0005886,lc3b,protein,,lc3,uniprot,q15377,cytoplasm,go:0005886,positive,d,binds,,,epithelial-like,,human,['37'],nan,nan,"lysates were isolated from the whole tissue homogenates or gastric cancer cells using a total protein extraction kit (millipore, billerica, ma, usa) and were cytoplasmic and nuclear protein extracted using a cytoplasmic and nuclear protein extraction kit (promega, madison, wi, usa) and were subjected to western blot analysis. antibodies against hmgb1 (1:8,000; sigma), lc3b, erk1/2, phospho-erk1/2, p38, p38, akt, phospho-akt, jnk, phospho-jnk (1:1,000; cell signaling technology, danvers, ma, usa), rage (1:200; r&d systems), β-tubulin, albumin and lamin b (1:1,000; santa cruz biotechnology inc., santa cruz, ca, usa) were used to develop immunoreactive signals. densitometry was performed using alphaimager 2200 system and quantity software.",pmc4358082,1,0.1,39,1,39.1
hmgb1,protein,,hmga1,uniprot,p02064,cytoplasm,go:0005736,beclin-1,protein,,becn1,uniprot,q02302,cytoplasm,go:0005736,positive,d,binds,,bgc-823,epithelial,,human,['39'],nan,nan,"autophagy is a cell survival mechanism in many types of malignant tumors (25,26). kang et al (27) found that intracellular hmgb1 regulates autophagy through interaction with beclin-1, in competition with bcl-2, indicating its functional importance in cross-regulating apoptosis and survival. however, detailed functions of extracellular hmgb1 remain largely undefined. our data showed that exogenous hmgb1 induced a dose-dependent upregulation of bgc-823 cell proliferation (fig. 4a and b). treatment with a medium containing hmgb1 released from the autophagic cells resulted in enhanced cell growth. therefore, hmgb1 released by autophagic cells serves as a pro-survival signal for residual cells.",pmc4358082,1,0.1,39,1,39.1
